,do not communcate,communicate
0,43.26610442485334,37.96317231021517
1,64.0876013278551,51.01459357562923
2,184.5613675963838,173.10506395933263
3,199.99999960410977,189.99999999999716
4,1.8813967115405459,-6.340257869322455
5,199.99999999999716,189.99999999999716
6,-96.82474445636787,-97.02949871809462
7,18.510016204154503,7.332978846868635
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,34.942660338508745,25.62412151232851
12,8.873222164720891,-7.3144821339488635
13,-3.1809839518799357,-3.284490182508428
14,-50.01694294999136,-59.94645795467004
15,26.47711376774435,16.46502396663016
16,-6.063699112184981,-8.146932703977834
17,-50.002873448455645,-59.935294916081574
18,-5.680756414193536,-6.61195344320915
19,-54.922458264070315,-64.42776568409327
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,399.99999999999716,379.99999999999716
24,-299.99999999999716,-292.7203261751975
25,-39.3762561693065,-42.00133991392695
26,399.99999999999716,379.99999999999716
27,-299.73590664549533,-253.8258528773394
28,0.0,0.0
29,233.15164802671165,32.86344595621646
30,0.0,0.0
31,-299.99952543590723,-241.25938172097435
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,-44.5626686715373,-42.00133991392695
37,0.0,0.0
38,0.0,0.0
39,-270.2685553443375,-224.70542281186184
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,-6.997082267935574,0.0
44,-49.36225882195468,0.0
45,-8.691568808220662,0.0
46,-49.999999999999645,0.0
47,-49.92869550934844,0.0
48,0.0,0.0
49,-9.513606588937071,0.0
50,0.0,0.0
51,-49.991272847744256,0.0
52,61.83601371984429,0.0
53,-49.999999863471956,0.0
54,-49.999999999999645,0.0
55,27.453870763416973,0.0
56,10.215882156408469,0.0
57,-49.999999999999645,0.0
58,-49.999999999999645,0.0
59,-49.999999999999645,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,-299.99999999999716,0.0
65,-265.7765894020271,0.0
66,399.99999999999716,0.0
67,-299.99999999999716,0.0
68,0.0,0.0
69,399.99999999999716,0.0
70,0.0,0.0
71,-299.99999999999716,0.0
72,0.0,0.0
73,-71.29718569586888,0.0
74,0.0,0.0
75,0.0,0.0
76,-299.99999999999716,0.0
77,0.0,0.0
78,0.0,0.0
79,-299.99999999999716,0.0
