,do not communcate,communicate
0,21.40885159406997,23.813100441612587
1,36.72703159433803,31.83336234929219
2,95.41817726678175,85.76809597497208
3,97.54211745433268,99.26914378038671
4,6.191271567118037,6.422622403872845
5,99.03645574677257,98.90727441792846
6,6.966648763160964,10.53326541529827
7,10.373358226458773,10.327382481087193
8,0.0,0.0
9,-0.01866422420419779,-0.026080025465978797
10,0.0,0.0
11,20.82987514007004,19.96478900419705
12,22.645189736180075,13.269236879020202
13,0.1329692299882146,-1.3451748681919864
14,0.07489643785137837,0.0400024002491353
15,8.15648746777177,8.124909026402367
16,2.303474077029695,1.2236355784422168
17,0.30113476722838445,0.30221409632526786
18,0.4424904964696434,-0.5455088212175777
19,2.6795603939271992,2.2306046838994407
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,199.99999999999858,189.99999999999858
24,-149.9999999999954,-116.29510472470156
25,-139.75084133029313,-134.6647411634213
26,199.99999999999858,189.99999999999858
27,-149.99997502252873,94.99536254471114
28,0.0,0.0
29,199.99999999999858,188.29525326553122
30,0.0,0.0
31,-149.99999684936168,118.87567091184893
32,0.0,0.0
33,-1.5,0.0
34,0.0,0.0
35,0.0,0.0
36,-105.54201189011877,-33.56488569863217
37,0.0,0.0
38,0.0,0.0
39,-149.9934589019075,65.44803060663119
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,15.031381702451865
53,0.0,0.0
54,0.0,0.0
55,0.0,8.904539917867993
56,0.0,0.4848823246332576
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,-159.99999999999858
65,0.0,-159.99999999999858
66,0.0,189.99999999999858
67,0.0,-159.99999999999858
68,0.0,0.0
69,0.0,189.99999999999858
70,0.0,0.0
71,0.0,-159.99999999999858
72,0.0,0.0
73,0.0,-31.739105673752647
74,0.0,0.0
75,0.0,0.0
76,0.0,-159.9999995845223
77,0.0,0.0
78,0.0,0.0
79,0.0,-159.99999999999858
