Communication Protocols,Success Count,Agent 1 Average Cumulative Reward,Agent 2 Average Cumulative Reward
"((1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0), (1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0))",854,-0.62,-0.59
"((1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0), (1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0))",49,-0.62,-0.59
